,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
89,JG Bethell (ENG),2024-2024,18,19,5,600,96,42.85,657,91.32,-,6,1,66,19
90,A Johnson (CAN),2024-2024,28,28,-,592,74,21.14,552,107.24,-,4,4,65,36
91,A Athanaze (WI),2024-2024,19,28,1,589,92,21.81,973,60.53,-,3,1,60,7
92,AP Yadav (THA),2024-2024,23,23,3,587,79*,29.35,498,117.87,-,4,2,68,12
93,AK Sah (NEP),2024-2024,23,23,2,583,112*,27.76,568,102.64,1,4,2,57,24
94,Tanzid Hasan (BAN),2024-2024,25,25,2,579,84,25.17,532,108.83,-,5,4,63,21
95,Luqman Butt (CAM),2024-2024,17,17,4,569,80*,43.76,400,142.25,-,4,1,55,26
96,R Sandaruwan (KUW),2024-2024,26,26,1,569,102*,22.76,394,144.41,1,3,2,47,35
97,Selim Salau (NGA),2024-2024,20,19,-,565,112,29.73,515,109.7,1,-,-,58,11
98,RA Jadeja (IND),2024-2024,20,23,2,562,112,26.76,1067,52.67,1,3,3,45,12
99,SI Runsewe (NGA),2024-2024,22,22,1,560,74,26.66,454,123.34,-,5,1,70,5
100,Azyan Farhath (MDV),2024-2024,17,17,6,559,66*,50.81,594,94.1,-,5,-,43,9
101,LS Livingstone (ENG),2024-2024,25,18,5,550,124*,42.3,386,142.48,1,2,2,33,35
102,S Ravichandran (JPN),2024-2024,22,21,3,549,86*,30.5,382,143.71,-,4,-,55,12
103,DP Conway (NZ),2024-2024,18,26,1,546,91,21.84,835,65.38,-,4,3,63,10
104,Saud Shakeel (PAK),2024-2024,7,13,-,544,141,41.84,951,57.2,2,2,1,44,1
105,Vikramjit Singh (NED),2024-2024,24,23,1,544,66,24.72,647,84.08,-,4,1,48,15
106,H Klaasen (SA),2024-2024,18,17,3,542,97,38.71,430,126.04,-,4,1,40,27
107,S Movva (CAN),2024-2024,27,26,7,542,68,28.52,675,80.29,-,2,1,39,5
108,DG Bedingham (SA),2024-2024,10,18,1,540,110,31.76,789,68.44,1,2,1,62,12
109,JP Inglis (AUS),2024-2024,22,21,5,538,103,33.62,397,135.51,1,1,1,53,20
110,Milind Kumar (USA),2024-2024,22,20,6,536,155*,38.28,516,103.87,1,2,2,43,11
111,FDM Karunaratne (SL),2024-2024,10,19,1,534,86,29.66,925,57.72,-,5,-,61,3
112,R Powell (WI),2024-2024,23,21,-,533,63,25.38,394,135.27,-,3,-,30,36
113,AV Lazarus (THA),2024-2024,23,22,4,532,95,29.55,442,120.36,-,4,-,42,23
114,Mominul Haque (BAN),2024-2024,10,19,2,529,107*,31.11,956,55.33,1,5,5,66,5
115,CV Anto (KUW),2024-2024,24,24,4,529,75,26.45,326,162.26,-,2,-,35,40
116,KAR Hodge (WI),2024-2024,10,19,-,527,120,27.73,1047,50.33,1,3,1,70,2
117,M van Lingen (NAM),2024-2024,18,18,-,525,107,29.16,561,93.58,1,3,1,69,14
118,KL Rahul (IND),2024-2024,11,18,2,524,86,32.75,902,58.09,-,4,3,54,4
119,WIA Fernando (SL),2024-2024,21,20,-,524,100,26.2,611,85.76,1,3,4,56,14
120,Syed Aziz (MAS),2024-2024,21,21,3,524,59*,29.11,385,136.1,-,4,-,44,27
121,D Ndikubwimana (RWN),2024-2024,24,24,3,524,62,24.95,578,90.65,-,3,-,59,9
122,JN Frylinck (NAM),2024-2024,27,26,1,518,73,20.72,643,80.55,-,2,2,53,6
123,Shayan Jahangir (USA),2024-2024,26,23,7,516,104,32.25,485,106.39,1,3,2,48,15
124,Sami Sohail (MWI),2024-2024,15,15,5,515,81,51.5,381,135.17,-,4,1,41,20
125,JJ Smit (NAM),2024-2024,24,23,5,515,60,28.61,633,81.35,-,2,2,32,28
126,RL Chase (WI),2024-2024,34,25,8,507,67*,29.82,499,101.6,-,3,3,42,11
127,LJ Tucker (IRE),2024-2024,17,19,1,506,85,28.11,547,92.5,-,5,2,60,6
128,Zeeshan Ali (HKG),2024-2024,25,20,8,506,70,42.16,332,152.4,-,4,2,43,25
129,JP Kotze (NAM),2024-2024,28,27,2,506,78,20.24,513,98.63,-,3,5,57,18
130,Gulsan Jha (NEP),2024-2024,34,29,7,502,53,22.81,460,109.13,-,1,1,30,30
131,K Verreynne (SA),2024-2024,13,16,1,501,114,33.4,696,71.98,2,2,1,53,5
132,S Samarawickrama (SL),2024-2024,29,26,4,499,61*,22.68,507,98.42,-,3,2,56,4
133,TA Blundell (NZ),2024-2024,14,24,2,498,115,22.63,663,75.11,1,1,3,54,11
134,D Myers (ZIM),2024-2024,23,25,2,496,96,21.56,552,89.85,-,3,2,51,12
135,T Marumani (ZIM),2024-2024,24,24,1,486,86,21.13,367,132.42,-,2,1,63,16
136,Soumya Sarkar (BAN),2024-2024,21,20,1,481,73,25.31,476,101.05,-,2,2,54,15
137,Aaron Jones (USA),2024-2024,25,24,3,478,94*,22.76,467,102.35,-,2,1,34,24
138,HT Tector (IRE),2024-2024,21,23,2,477,138,22.71,542,88.0,1,2,4,45,8
139,I Danladi (NGA),2024-2024,20,20,2,475,80,26.38,322,147.51,-,1,-,45,20
140,DA Warner (AUS),2024-2024,12,13,1,474,81,39.5,395,120.0,-,5,-,53,17
141,RD Berrington (SCOT),2024-2024,23,20,6,471,89,33.64,491,95.92,-,2,1,37,13
142,Mushfiqur Rahim (BAN),2024-2024,10,15,3,467,191,38.91,735,63.53,1,1,1,54,3
143,Kushal Malla (NEP),2024-2024,29,26,4,466,55*,21.18,528,88.25,-,1,-,20,26
144,PR Stirling (IRE),2024-2024,20,22,-,465,88,21.13,530,87.73,-,4,-,52,11
145,N Pooran (WI),2024-2024,21,20,2,464,98,25.77,326,142.33,-,2,1,25,39
146,JC Buttler (ENG),2024-2024,15,13,2,462,84,42.0,281,164.41,-,3,2,47,23
147,J Liyanage (SL),2024-2024,18,13,3,462,101*,46.2,567,81.48,1,3,-,31,11
148,E Lewis (WI),2024-2024,14,14,2,462,102*,38.5,363,127.27,1,3,1,38,30
149,RR Patel (KENYA),2024-2024,18,16,2,460,120,32.85,307,149.83,1,2,1,42,25
